year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite,O3_target,NO2_target
2022.00,7.00,28.00,0.00,80.16,30.21,23.36,7.46,-1.65,1.20,1.43,,,,5.62,14.97
2022.00,7.00,28.00,1.00,93.82,30.45,24.09,7.44,-0.44,0.26,1.27,,,,5.83,11.67
2022.00,7.00,28.00,2.00,107.48,30.69,23.83,7.43,0.78,-0.68,1.10,,,,4.90,12.15
2022.00,7.00,28.00,3.00,121.14,30.92,24.31,7.41,2.00,-1.62,0.94,,,,5.12,13.48
2022.00,7.00,28.00,4.00,134.83,35.46,26.00,7.52,1.77,-1.10,0.65,,,,5.48,10.05
2022.00,7.00,28.00,5.00,148.52,39.99,26.84,7.63,1.55,-0.57,0.37,,,,5.35,13.82
2022.00,7.00,28.00,6.00,162.22,44.53,29.53,7.74,1.33,-0.04,0.09,,,,10.03,14.02
2022.00,7.00,28.00,7.00,165.80,45.98,28.49,7.76,1.10,0.20,0.64,,,,8.25,9.85
2022.00,7.00,28.00,8.00,169.39,47.43,29.79,7.77,0.88,0.43,1.19,,,,6.58,20.50
2022.00,7.00,28.00,9.00,172.97,48.88,29.52,7.79,0.66,0.67,1.74,,,,6.00,15.93
2022.00,7.00,28.00,10.00,146.61,38.44,31.29,7.61,0.90,0.08,1.40,,,,7.07,9.53
2022.00,7.00,28.00,11.00,120.25,27.99,31.52,7.44,1.15,-0.51,1.06,,,,6.28,23.35
2022.00,7.00,28.00,12.00,93.88,17.55,32.51,7.26,1.39,-1.10,0.72,,,,6.83,16.97
2022.00,7.00,28.00,13.00,94.01,16.35,32.81,7.09,1.48,-1.30,1.30,,,,8.00,13.43
2022.00,7.00,28.00,14.00,94.14,15.16,26.90,6.91,1.58,-1.50,1.88,,,,7.38,12.18
2022.00,7.00,28.00,15.00,94.27,13.96,29.92,6.74,1.67,-1.70,2.46,,,,7.10,12.62
2022.00,7.00,28.00,16.00,98.03,17.32,29.07,6.84,2.15,-2.06,1.98,,,,6.10,16.10
2022.00,7.00,28.00,17.00,101.80,20.67,29.83,6.94,2.63,-2.41,1.50,,,,5.60,21.23
2022.00,7.00,28.00,18.00,105.57,24.03,28.95,7.04,3.12,-2.77,1.03,,,,5.58,18.18
2022.00,7.00,28.00,19.00,99.51,23.62,27.09,6.91,3.58,-2.32,1.02,,,,5.50,12.12
2022.00,7.00,28.00,20.00,93.45,23.20,27.91,6.78,4.05,-1.87,1.01,,,,5.50,8.33
2022.00,7.00,28.00,21.00,87.39,22.79,31.39,6.65,4.52,-1.42,1.01,,,,7.50,11.50
2022.00,7.00,28.00,22.00,90.28,32.47,27.52,6.71,3.41,-1.40,1.15,,,,5.55,11.12
2022.00,7.00,28.00,23.00,93.16,42.14,28.21,6.77,2.29,-1.39,1.29,,,,5.70,10.92
2024.00,5.00,23.00,0.00,44.25,7.77,8.94,15.66,3.28,0.78,-0.48,,,,20.50,15.45
2024.00,5.00,23.00,1.00,45.40,7.68,9.72,15.42,3.35,1.00,-0.17,,,,11.43,24.55
2024.00,5.00,23.00,2.00,46.55,7.60,9.59,15.19,3.41,1.22,0.14,,,,11.47,24.12
2024.00,5.00,23.00,3.00,47.70,7.51,7.78,14.95,3.48,1.44,0.45,,,,16.70,21.60
2024.00,5.00,23.00,4.00,42.08,11.80,9.30,15.53,2.89,1.16,0.70,,,,22.30,23.15
2024.00,5.00,23.00,5.00,36.47,16.08,7.36,16.12,2.30,0.88,0.94,,,,23.20,32.38
2024.00,5.00,23.00,6.00,30.86,20.37,9.02,16.70,1.72,0.60,1.18,,,,28.12,28.55
2024.00,5.00,23.00,7.00,31.15,19.12,7.07,16.01,2.03,0.92,0.85,0.64,1.33,0.48,31.35,34.93
2024.00,5.00,23.00,8.00,31.44,17.87,7.17,15.33,2.35,1.24,0.51,,,,35.58,20.80
2024.00,5.00,23.00,9.00,31.73,16.62,6.74,14.65,2.67,1.56,0.17,0.55,2.54,0.22,53.80,21.07
2024.00,5.00,23.00,10.00,33.05,17.27,7.19,15.05,2.54,1.25,0.35,,,,69.40,35.15
2024.00,5.00,23.00,11.00,34.36,17.92,5.80,15.46,2.41,0.94,0.52,,,,84.20,28.62
2024.00,5.00,23.00,12.00,35.68,18.57,8.32,15.87,2.28,0.62,0.69,,,,85.30,46.62
2024.00,5.00,23.00,13.00,27.83,26.47,8.26,16.17,2.06,0.78,0.80,,,,86.97,37.82
2024.00,5.00,23.00,14.00,19.98,34.38,7.47,16.47,1.84,0.94,0.91,,,,61.40,55.77
2024.00,5.00,23.00,15.00,12.12,42.28,8.63,16.78,1.63,1.09,1.02,,,,36.72,66.03
2024.00,5.00,23.00,16.00,11.65,53.58,8.14,17.18,0.93,1.13,0.99,,,,29.93,48.25
2024.00,5.00,23.00,17.00,11.18,64.89,11.02,17.59,0.23,1.16,0.95,,,,26.23,67.65
2024.00,5.00,23.00,18.00,10.71,76.20,12.52,18.00,-0.47,1.20,0.92,,,,19.75,60.20
2024.00,5.00,23.00,19.00,9.70,73.48,10.39,17.88,-0.07,0.95,1.06,,,,21.08,44.52
2024.00,5.00,23.00,20.00,8.69,70.75,10.27,17.75,0.32,0.70,1.20,,,,21.45,43.67
2024.00,5.00,23.00,21.00,7.68,68.03,5.18,17.63,0.72,0.44,1.33,,,,26.50,40.90
2024.00,5.00,23.00,22.00,12.00,56.64,6.39,16.82,1.17,0.53,1.36,,,,27.62,28.62
2024.00,5.00,23.00,23.00,16.31,45.25,5.93,16.01,1.62,0.62,1.39,,,,27.05,25.05
2022.00,7.00,24.00,0.00,78.15,34.42,15.13,7.89,1.24,-1.58,2.15,,,,5.90,7.58
2022.00,7.00,24.00,1.00,74.91,33.17,13.56,8.10,1.34,-1.58,1.85,,,,6.28,7.07
2022.00,7.00,24.00,2.00,71.67,31.92,13.37,8.30,1.45,-1.57,1.55,,,,10.32,8.38
2022.00,7.00,24.00,3.00,68.42,30.67,13.07,8.50,1.56,-1.57,1.25,,,,8.65,6.97
2022.00,7.00,24.00,4.00,70.22,37.52,11.07,8.47,1.59,-1.34,1.36,,,,6.90,5.70
2022.00,7.00,24.00,5.00,72.02,44.37,9.85,8.43,1.63,-1.11,1.48,,,,9.20,3.80
2022.00,7.00,24.00,6.00,73.82,51.23,9.18,8.39,1.67,-0.88,1.59,,,,9.85,4.73
2022.00,7.00,24.00,7.00,74.49,44.79,7.21,8.22,1.42,-1.18,1.57,,,,9.95,4.82
2022.00,7.00,24.00,8.00,75.16,38.35,8.96,8.05,1.16,-1.49,1.55,0.47,1.55,0.31,7.85,7.97
2022.00,7.00,24.00,9.00,75.84,31.91,11.41,7.88,0.91,-1.79,1.53,,,,9.72,13.25
2022.00,7.00,24.00,10.00,82.48,30.20,13.95,7.76,1.18,-1.48,1.80,,,,11.50,12.53
2022.00,7.00,24.00,11.00,89.13,28.49,12.45,7.63,1.45,-1.17,2.07,,,,12.07,14.95
2022.00,7.00,24.00,12.00,95.77,26.78,13.47,7.51,1.72,-0.86,2.33,,,,8.40,21.85
2022.00,7.00,24.00,13.00,94.30,25.44,14.85,7.42,1.64,-0.71,1.98,,,,8.80,19.38
2022.00,7.00,24.00,14.00,92.83,24.10,14.10,7.33,1.55,-0.56,1.63,,,,7.10,17.43
2022.00,7.00,24.00,15.00,91.36,22.76,10.83,7.23,1.47,-0.41,1.27,,,,6.30,21.80
2022.00,7.00,24.00,16.00,91.29,22.07,9.21,7.20,1.18,-0.92,1.35,,,,9.77,18.65
