year,month,day,hour,O3_forecast,NO2_forecast,T_forecast,q_forecast,u_forecast,v_forecast,w_forecast,NO2_satellite,HCHO_satellite,ratio_satellite
2024.00,5.00,5.00,0.00,1.12,82.84,21.58,11.29,-0.97,-1.92,0.72,,,
2024.00,5.00,5.00,1.00,6.35,81.56,19.41,10.88,-1.03,-0.72,0.16,,,
2024.00,5.00,5.00,2.00,11.58,80.29,19.14,10.48,-1.10,0.48,-0.40,,,
2024.00,5.00,5.00,3.00,16.81,79.01,19.69,10.07,-1.16,1.68,-0.96,,,
2024.00,5.00,5.00,4.00,29.27,58.00,19.93,9.80,-0.41,0.42,-0.27,,,
2024.00,5.00,5.00,5.00,41.72,36.98,19.87,9.54,0.34,-0.83,0.42,,,
2024.00,5.00,5.00,6.00,54.17,15.97,20.10,9.28,1.09,-2.09,1.11,,,
2024.00,5.00,5.00,7.00,48.56,23.41,20.16,8.85,0.68,-2.08,1.10,,,
2024.00,5.00,5.00,8.00,42.95,30.86,20.02,8.43,0.28,-2.08,1.09,0.70,4.07,0.17
2024.00,5.00,5.00,9.00,37.35,38.30,21.05,8.01,-0.12,-2.08,1.07,,,
2024.00,5.00,5.00,10.00,41.76,32.56,20.77,8.36,0.47,-2.10,1.00,,,
2024.00,5.00,5.00,11.00,46.18,26.83,22.16,8.72,1.05,-2.13,0.92,,,
2024.00,5.00,5.00,12.00,50.59,21.10,21.67,9.07,1.64,-2.16,0.84,,,
2024.00,5.00,5.00,13.00,51.88,20.14,19.34,8.52,1.59,-2.05,0.75,,,
2024.00,5.00,5.00,14.00,53.16,19.19,20.63,7.97,1.54,-1.93,0.66,,,
2024.00,5.00,5.00,15.00,54.45,18.23,18.76,7.42,1.49,-1.82,0.57,,,
2024.00,5.00,5.00,16.00,51.93,20.67,18.45,7.29,1.26,-2.12,0.90,,,
2024.00,5.00,5.00,17.00,49.40,23.10,16.61,7.17,1.02,-2.42,1.22,,,
2024.00,5.00,5.00,18.00,46.88,25.54,17.12,7.05,0.79,-2.72,1.55,,,
2024.00,5.00,5.00,19.00,48.79,24.89,21.08,6.85,1.06,-2.40,1.29,,,
2024.00,5.00,5.00,20.00,50.70,24.25,18.21,6.65,1.33,-2.08,1.02,,,
2024.00,5.00,5.00,21.00,52.61,23.60,16.51,6.45,1.60,-1.75,0.76,,,
2024.00,5.00,5.00,22.00,64.73,18.88,16.79,6.38,1.75,-1.79,0.78,,,
2024.00,5.00,5.00,23.00,76.85,14.15,19.30,6.30,1.89,-1.83,0.79,,,
2022.00,3.00,26.00,0.00,137.72,4.42,15.85,6.40,1.38,-1.01,0.73,,,
2022.00,3.00,26.00,1.00,137.27,4.65,18.59,6.18,1.10,-1.42,1.03,,,
2022.00,3.00,26.00,2.00,136.82,4.87,21.55,5.95,0.81,-1.83,1.33,,,
2022.00,3.00,26.00,3.00,136.37,5.10,19.72,5.72,0.53,-2.24,1.63,,,
2022.00,3.00,26.00,4.00,126.49,9.60,19.05,5.60,0.62,-1.47,2.07,,,
2022.00,3.00,26.00,5.00,116.62,14.11,18.04,5.49,0.72,-0.70,2.51,,,
2022.00,3.00,26.00,6.00,106.75,18.61,19.40,5.37,0.81,0.07,2.94,,,
2022.00,3.00,26.00,7.00,114.40,13.56,18.75,6.36,0.06,0.53,2.33,,,
2022.00,3.00,26.00,8.00,122.04,8.50,21.36,7.36,-0.69,0.99,1.71,,,
2022.00,3.00,26.00,9.00,129.69,3.45,22.91,8.36,-1.44,1.46,1.10,0.19,1.81,0.11
2022.00,3.00,26.00,10.00,143.14,4.67,16.00,8.17,-2.50,0.20,0.87,,,
2022.00,3.00,26.00,11.00,156.58,5.88,20.15,7.98,-3.55,-1.06,0.64,,,
2022.00,3.00,26.00,12.00,170.02,7.09,18.57,7.79,-4.60,-2.32,0.41,,,
