Site,Target,MAE,RMSE,R2,Bias
site_1,O3_target,2.102510556075826,5.113173292270002,0.9652065451691388,-0.156712961597435
site_1,NO2_target,4.61204648184567,8.457321703916982,0.899660997417082,-0.22467757058352933
site_2,O3_target,3.1970398309585053,5.736819059949607,0.9536548094934237,0.30306044371009994
site_2,NO2_target,3.7508156709125173,6.144424668069744,0.9224702281743452,-0.058540371093338296
site_3,O3_target,5.003047039112364,8.306337199999676,0.9537592910847615,0.14841206218293412
site_3,NO2_target,4.905402937771904,7.403589092645446,0.9375315229640165,0.9829255743405764
site_4,O3_target,4.274545944345127,7.036370578218844,0.9651147268788401,-0.2710807888688471
site_4,NO2_target,3.669327892317489,5.5415630082956575,0.9139790556073029,0.6366506445395695
site_5,O3_target,3.9307054122390506,6.591118325589225,0.9615741821936792,-0.5622900475298795
site_5,NO2_target,6.478840201428103,11.623745428506732,0.920422417594077,-0.7287835205295804
site_6,O3_target,7.194467888005188,15.04078401783844,0.831328664359577,-2.7201266960132453
site_6,NO2_target,4.562486154128516,8.52454673528478,0.8564261305512288,-0.9917167591949041
site_7,O3_target,4.306575687525169,7.063422606216197,0.9603318830031733,0.1771885547489157
site_7,NO2_target,3.1501580567130465,5.313844450098427,0.9286456395052571,-0.13159992405776794
